ㄚ	a1
ㄋㄧˇ	ni3
ㄋㄧˋ	ni4
ㄋㄧㄚˊ	nia2
ㄋㄧㄢ	nian1
ㄋㄧㄢˊ	nian2
ㄋㄧㄢˇ	nian3
ㄋㄧㄢˋ	nian4
ㄋㄧㄤˊ	niang2
ㄋㄧㄤˋ	niang4
˙ㄋㄧㄤ	niang5
ㄋㄧㄠˇ	niao3
ㄋㄧㄠˋ	niao4
ㄋㄧㄝ	nie1
ㄋㄧㄝˊ	nie2
ㄋㄧㄝˋ	nie4
˙ㄋㄧㄝ	nie5
ㄋㄧㄣ	nin1
ㄋㄧㄣˊ	nin2
ㄋㄧㄣˇ	nin3
˙ㄋㄧㄣ	nin5
ㄋㄧㄥˊ	ning2
ㄋㄧㄥˇ	ning3
ㄋㄧㄥˋ	ning4
ㄋㄧㄡ	niu1
ㄋㄧㄡˊ	niu2
ㄋㄧㄡˇ	niu3
ㄋㄧㄡˋ	niu4
˙ㄋㄧㄡ	niu5
ㄋㄨㄥˊ	nong2
ㄋㄨㄥˇ	nong3
ㄋㄨㄥˋ	nong4
˙ㄋㄨㄥ	nong5
ㄋㄡˊ	nou2
ㄋㄡˇ	nou3
ㄋㄡˋ	nou4
ㄋㄨˊ	nu2
ㄋㄨˇ	nu3
ㄋㄨˋ	nu4
ㄋㄨㄢˊ	nuan2
ㄋㄨㄢˇ	nuan3
ㄋㄨㄟˊ	nui2
ㄋㄨㄣˊ	nun2
ㄋㄨㄛˊ	nuo2
ㄋㄨㄛˇ	nuo3
ㄋㄨㄛˋ	nuo4
ㄋㄩˇ	nv3
ㄋㄩˋ	nv4
˙ㄋㄩ	nv5
ㄋㄩㄝˋ	nve4
ㄛ	o1
ㄛˊ	o2
ㄛˇ	o3
ㄛˋ	o4
˙ㄛ	o5
ㄡ	ou1
ㄡˊ	ou2
ㄡˇ	ou3
ㄡˋ	ou4
ㄆㄚ	pa1
ㄆㄚˊ	pa2
ㄆㄚˋ	pa4
˙ㄆㄚ	pa5
ㄆㄞ	pai1
ㄆㄞˊ	pai2
ㄆㄞˇ	pai3
ㄆㄞˋ	pai4
˙ㄆㄞ	pai5
ㄆㄢ	pan1
ㄆㄢˊ	pan2
ㄆㄢˇ	pan3
ㄆㄢˋ	pan4
˙ㄆㄢ	pan5
ㄆㄤ	pang1
ㄆㄤˊ	pang2
ㄆㄤˇ	pang3
ㄆㄤˋ	pang4
ㄆㄠ	pao1
ㄆㄠˊ	pao2
ㄆㄠˇ	pao3
ㄆㄠˋ	pao4
˙ㄆㄠ	pao5
ㄆㄟ	pei1
ㄆㄟˊ	pei2
ㄆㄟˇ	pei3
ㄆㄟˋ	pei4
ㄆㄣ	pen1
ㄆㄣˊ	pen2
ㄆㄣˇ	pen3
ㄆㄣˋ	pen4
˙ㄆㄣ	pen5
ㄆㄥ	peng1
ㄆㄥˊ	peng2
ㄆㄥˇ	peng3
ㄆㄥˋ	peng4
˙ㄆㄥ	peng5
ㄆㄧ	pi1
ㄆㄧˊ	pi2
ㄆㄧˇ	pi3
ㄆㄧˋ	pi4
˙ㄆㄧ	pi5
ㄆㄧㄚ	pia1
ㄆㄧㄢ	pian1
ㄆㄧㄢˊ	pian2
ㄆㄧㄢˇ	pian3
ㄆㄧㄢˋ	pian4
ㄆㄧㄠ	piao1
ㄆㄧㄠˊ	piao2
ㄆㄧㄠˇ	piao3
ㄆㄧㄠˋ	piao4
ㄆㄧㄝ	pie1
ㄆㄧㄝˇ	pie3
ㄆㄧㄝˋ	pie4
ㄆㄧㄣ	pin1
ㄆㄧㄣˊ	pin2
ㄆㄧㄣˇ	pin3
ㄆㄧㄣˋ	pin4
ㄆㄧㄥ	ping1
ㄆㄧㄥˊ	ping2
ㄆㄧㄥˇ	ping3
ㄆㄧㄥˋ	ping4
ㄆㄛ	po1
ㄆㄛˊ	po2
ㄆㄛˇ	po3
ㄆㄛˋ	po4
˙ㄆㄛ	po5
ㄆㄡ	pou1
ㄆㄡˊ	pou2
ㄆㄡˇ	pou3
ㄆㄨ	pu1
ㄆㄨˊ	pu2
ㄆㄨˇ	pu3
ㄆㄨˋ	pu4
˙ㄆㄨ	pu5
ㄑㄧ	qi1
ㄑㄧˊ	qi2
ㄑㄧˇ	qi3
ㄑㄧˋ	qi4
˙ㄑㄧ	qi5
ㄑㄧㄚ	qia1
ㄑㄧㄚˊ	qia2
ㄑㄧㄚˇ	qia3
ㄑㄧㄚˋ	qia4
ㄑㄧㄢ	qian1
ㄑㄧㄢˊ	qian2
ㄑㄧㄢˇ	qian3
ㄑㄧㄢˋ	qian4
˙ㄑㄧㄢ	qian5
ㄑㄧㄤ	qiang1
ㄑㄧㄤˊ	qiang2
ㄑㄧㄤˇ	qiang3
ㄑㄧㄤˋ	qiang4
ㄑㄧㄠ	qiao1
ㄑㄧㄠˊ	qiao2
ㄑㄧㄠˇ	qiao3
ㄑㄧㄠˋ	qiao4
ㄑㄧㄝ	qie1
ㄑㄧㄝˊ	qie2
ㄑㄧㄝˇ	qie3
ㄑㄧㄝˋ	qie4
˙ㄑㄧㄝ	qie5
ㄑㄧㄣ	qin1
ㄑㄧㄣˊ	qin2
ㄑㄧㄣˇ	qin3
ㄑㄧㄣˋ	qin4
˙ㄑㄧㄣ	qin5
ㄑㄧㄥ	qing1
ㄑㄧㄥˊ	qing2
ㄑㄧㄥˇ	qing3
ㄑㄧㄥˋ	qing4
˙ㄑㄧㄥ	qing5
ㄑㄩㄥ	qiong1
ㄑㄩㄥˊ	qiong2
ㄑㄩㄥˇ	qiong3
ㄑㄧㄡ	qiu1
ㄑㄧㄡˊ	qiu2
ㄑㄧㄡˇ	qiu3
ㄑㄧㄡˋ	qiu4
ㄑㄩ	qu1
ㄑㄩˊ	qu2
ㄑㄩˇ	qu3
ㄑㄩˋ	qu4
˙ㄑㄩ	qu5
ㄑㄩㄢ	quan1
ㄑㄩㄢˊ	quan2
ㄑㄩㄢˇ	quan3
ㄑㄩㄢˋ	quan4
˙ㄑㄩㄢ	quan5
ㄑㄩㄝ	que1
ㄑㄩㄝˊ	que2
ㄑㄩㄝˋ	que4
ㄑㄩㄣ	qun1
ㄑㄩㄣˊ	qun2
ㄖㄢˊ	ran2
ㄖㄢˇ	ran3
ㄖㄤ	rang1
ㄖㄤˊ	rang2
ㄖㄤˇ	rang3
ㄖㄤˋ	rang4
˙ㄖㄤ	rang5
ㄖㄠˊ	rao2
ㄖㄠˇ	rao3
ㄖㄠˋ	rao4
ㄖㄜˊ	re2
ㄖㄜˇ	re3
ㄖㄜˋ	re4
ㄖㄣˊ	ren2
ㄖㄣˇ	ren3
ㄖㄣˋ	ren4
˙ㄖㄣ	ren5
ㄖㄥ	reng1
ㄖㄥˊ	reng2
ㄖㄥˇ	reng3
ㄖㄥˋ	reng4
ㄖˋ	ri4
˙ㄖ	ri5
ㄖㄨㄥ	rong1
ㄖㄨㄥˊ	rong2
ㄖㄨㄥˇ	rong3
ㄖㄨㄥˋ	rong4
˙ㄖㄨㄥ	rong5
ㄖㄡˊ	rou2
ㄖㄡˇ	rou3
ㄖㄡˋ	rou4
˙ㄖㄡ	rou5
ㄖㄨ	ru1
ㄖㄨˊ	ru2
ㄖㄨˇ	ru3
ㄖㄨˋ	ru4
˙ㄖㄨ	ru5
ㄖㄨㄚˊ	rua2
ㄖㄨㄢˊ	ruan2
ㄖㄨㄢˇ	ruan3
ㄖㄨㄢˋ	ruan4
ㄖㄨㄟˊ	rui2
ㄖㄨㄟˇ	rui3
ㄖㄨㄟˋ	rui4
ㄖㄨㄣˊ	run2
ㄖㄨㄣˋ	run4
ㄖㄨㄛˊ	ruo2
ㄖㄨㄛˋ	ruo4
ㄙㄚ	sa1
ㄙㄚˇ	sa3
ㄙㄚˋ	sa4
˙ㄙㄚ	sa5
ㄙㄞ	sai1
ㄙㄞˇ	sai3
ㄙㄞˋ	sai4
˙ㄙㄞ	sai5
ㄙㄢ	san1
ㄙㄢˇ	san3
ㄙㄢˋ	san4
˙ㄙㄢ	san5
ㄙㄤ	sang1
ㄙㄤˇ	sang3
ㄙㄤˋ	sang4
˙ㄙㄤ	sang5
ㄙㄠ	sao1
ㄙㄠˇ	sao3
ㄙㄠˋ	sao4
˙ㄙㄠ	sao5
ㄙㄜ	se1
ㄙㄜˋ	se4
˙ㄙㄜ	se5
ㄙㄟ	sei1
ㄙㄟˊ	sei2
ㄙㄣ	sen1
ㄙㄥ	seng1
ㄕㄚ	sha1
ㄕㄚˊ	sha2
ㄕㄚˇ	sha3
ㄕㄚˋ	sha4
˙ㄕㄚ	sha5
ㄕㄞ	shai1
ㄕㄞˇ	shai3
ㄕㄞˋ	shai4
ㄕㄢ	shan1
ㄕㄢˇ	shan3
ㄕㄢˋ	shan4
˙ㄕㄢ	shan5
ㄕㄤ	shang1
ㄕㄤˇ	shang3
ㄕㄤˋ	shang4
˙ㄕㄤ	shang5
ㄕㄠ	shao1
ㄕㄠˊ	shao2
ㄕㄠˇ	shao3
ㄕㄠˋ	shao4
˙ㄕㄠ	shao5
ㄕㄜ	she1
ㄕㄜˊ	she2
ㄕㄜˇ	she3
ㄕㄜˋ	she4
˙ㄕㄜ	she5
ㄕㄟˊ	shei2
ㄕㄣ	shen1
ㄕㄣˊ	shen2
ㄕㄣˇ	shen3
ㄕㄣˋ	shen4
˙ㄕㄣ	shen5
ㄕㄥ	sheng1
ㄕㄥˊ	sheng2
ㄕㄥˇ	sheng3
ㄕㄥˋ	sheng4
˙ㄕㄥ	sheng5
ㄕ	shi1
ㄕˊ	shi2
ㄕˇ	shi3
ㄕˋ	shi4
˙ㄕ	shi5
ㄕㄡ	shou1
ㄕㄡˊ	shou2
ㄕㄡˇ	shou3
ㄕㄡˋ	shou4
˙ㄕㄡ	shou5
ㄕㄨ	shu1
ㄕㄨˊ	shu2
ㄕㄨˇ	shu3
ㄕㄨˋ	shu4
˙ㄕㄨ	shu5
ㄕㄨㄚ	shua1
ㄕㄨㄚˇ	shua3
ㄕㄨㄚˋ	shua4
˙ㄕㄨㄚ	shua5
ㄕㄨㄞ	shuai1
ㄕㄨㄞˇ	shuai3
ㄕㄨㄞˋ	shuai4
ㄕㄨㄢ	shuan1
ㄕㄨㄢˋ	shuan4
ㄕㄨㄤ	shuang1
ㄕㄨㄤˇ	shuang3
ㄕㄨㄤˋ	shuang4
ㄕㄨㄟˊ	shui2
ㄕㄨㄟˇ	shui3
ㄕㄨㄟˋ	shui4
˙ㄕㄨㄟ	shui5
ㄕㄨㄣˇ	shun3
ㄕㄨㄣˋ	shun4
ㄕㄨㄛ	shuo1
ㄕㄨㄛˋ	shuo4
˙ㄕㄨㄛ	shuo5
ㄙ	si1
ㄙˇ	si3
ㄙˋ	si4
˙ㄙ	si5
ㄙㄨㄥ	song1
ㄙㄨㄥˊ	song2
ㄙㄨㄥˇ	song3
ㄙㄨㄥˋ	song4
˙ㄙㄨㄥ	song5
ㄙㄡ	sou1
ㄙㄡˇ	sou3
ㄙㄡˋ	sou4
˙ㄙㄡ	sou5
ㄙㄨ	su1
ㄙㄨˊ	su2
ㄙㄨˋ	su4
˙ㄙㄨ	su5
ㄙㄨㄢ	suan1
ㄙㄨㄢˇ	suan3
ㄙㄨㄢˋ	suan4
ㄙㄨㄟ	sui1
ㄙㄨㄟˊ	sui2
ㄙㄨㄟˇ	sui3
ㄙㄨㄟˋ	sui4
˙ㄙㄨㄟ	sui5
ㄙㄨㄣ	sun1
ㄙㄨㄣˇ	sun3
ㄙㄨㄣˋ	sun4
ㄙㄨㄛ	suo1
ㄙㄨㄛˊ	suo2
ㄙㄨㄛˇ	suo3
ㄙㄨㄛˋ	suo4
˙ㄙㄨㄛ	suo5
ㄊㄚ	ta1
ㄊㄚˊ	ta2
ㄊㄚˇ	ta3
ㄊㄚˋ	ta4
˙ㄊㄚ	ta5
ㄊㄞ	tai1
ㄊㄞˊ	tai2
ㄊㄞˇ	tai3
ㄊㄞˋ	tai4
˙ㄊㄞ	tai5
ㄊㄢ	tan1
ㄊㄢˊ	tan2
ㄊㄢˇ	tan3
ㄊㄢˋ	tan4
˙ㄊㄢ	tan5
ㄊㄤ	tang1
ㄊㄤˊ	tang2
ㄊㄤˇ	tang3
ㄊㄤˋ	tang4
˙ㄊㄤ	tang5
ㄊㄠ	tao1
ㄊㄠˊ	tao2
ㄊㄠˇ	tao3
ㄊㄠˋ	tao4
˙ㄊㄠ	tao5
ㄊㄜˋ	te4
ㄊㄥ	teng1
ㄊㄥˊ	teng2
ㄊㄥˋ	teng4
˙ㄊㄥ	teng5
ㄊㄧ	ti1
ㄊㄧˊ	ti2
ㄊㄧˇ	ti3
ㄊㄧˋ	ti4
˙ㄊㄧ	ti5
ㄊㄧㄢ	tian1
ㄊㄧㄢˊ	tian2
ㄊㄧㄢˇ	tian3
ㄊㄧㄢˋ	tian4
˙ㄊㄧㄢ	tian5
ㄊㄧㄠ	tiao1
ㄊㄧㄠˊ	tiao2
ㄊㄧㄠˇ	tiao3
ㄊㄧㄠˋ	tiao4
˙ㄊㄧㄠ	tiao5
ㄊㄧㄝ	tie1
ㄊㄧㄝˇ	tie3
ㄊㄧㄝˋ	tie4
˙ㄊㄧㄝ	tie5
ㄊㄧㄥ	ting1
ㄊㄧㄥˊ	ting2
ㄊㄧㄥˇ	ting3
ㄊㄧㄥˋ	ting4
˙ㄊㄧㄥ	ting5
ㄊㄨㄥ	tong1
ㄊㄨㄥˊ	tong2
ㄊㄨㄥˇ	tong3
ㄊㄨㄥˋ	tong4
˙ㄊㄨㄥ	tong5
ㄊㄡ	tou1
ㄊㄡˊ	tou2
ㄊㄡˇ	tou3
ㄊㄡˋ	tou4
˙ㄊㄡ	tou5
ㄊㄨ	tu1
ㄊㄨˊ	tu2
ㄊㄨˇ	tu3
ㄊㄨˋ	tu4
˙ㄊㄨ	tu5
ㄊㄨㄢ	tuan1
ㄊㄨㄢˊ	tuan2
ㄊㄨㄢˇ	tuan3
ㄊㄨㄢˋ	tuan4
ㄊㄨㄟ	tui1
ㄊㄨㄟˊ	tui2
ㄊㄨㄟˇ	tui3
ㄊㄨㄟˋ	tui4
˙ㄊㄨㄟ	tui5
ㄊㄨㄣ	tun1
ㄊㄨㄣˊ	tun2
ㄊㄨㄣˇ	tun3
ㄊㄨㄣˋ	tun4
˙ㄊㄨㄣ	tun5
ㄊㄨㄛ	tuo1
ㄊㄨㄛˊ	tuo2
ㄊㄨㄛˇ	tuo3
ㄊㄨㄛˋ	tuo4
˙ㄊㄨㄛ	tuo5
ㄨㄚ	wa1
ㄨㄚˊ	wa2
ㄨㄚˇ	wa3
ㄨㄚˋ	wa4
˙ㄨㄚ	wa5
ㄨㄞ	wai1
ㄨㄞˇ	wai3
ㄨㄞˋ	wai4
˙ㄨㄞ	wai5
ㄨㄢ	wan1
ㄨㄢˊ	wan2
ㄨㄢˇ	wan3
ㄨㄢˋ	wan4
ㄨㄤ	wang1
ㄨㄤˊ	wang2
ㄨㄤˇ	wang3
ㄨㄤˋ	wang4
˙ㄨㄤ	wang5
ㄨㄟ	wei1
ㄨㄟˊ	wei2
ㄨㄟˇ	wei3
ㄨㄟˋ	wei4
˙ㄨㄟ	wei5
ㄨㄣ	wen1
ㄨㄣˊ	wen2
ㄨㄣˇ	wen3
ㄨㄣˋ	wen4
˙ㄨㄣ	wen5
ㄨㄥ	weng1
ㄨㄥˇ	weng3
ㄨㄥˋ	weng4
ㄨㄛ	wo1
ㄨㄛˇ	wo3
ㄨㄛˋ	wo4
˙ㄨㄛ	wo5
ㄨ	wu1
ㄨˊ	wu2
ㄨˇ	wu3
ㄨˋ	wu4
˙ㄨ	wu5
ㄒㄧ	xi1
ㄒㄧˊ	xi2
ㄒㄧˇ	xi3
ㄒㄧˋ	xi4
˙ㄒㄧ	xi5
ㄒㄧㄚ	xia1
ㄒㄧㄚˊ	xia2
ㄒㄧㄚˇ	xia3
ㄒㄧㄚˋ	xia4
˙ㄒㄧㄚ	xia5
ㄒㄧㄢ	xian1
ㄒㄧㄢˊ	xian2
ㄒㄧㄢˇ	xian3
ㄒㄧㄢˋ	xian4
˙ㄒㄧㄢ	xian5
ㄒㄧㄤ	xiang1
ㄒㄧㄤˊ	xiang2
ㄒㄧㄤˇ	xiang3
ㄒㄧㄤˋ	xiang4
˙ㄒㄧㄤ	xiang5
ㄒㄧㄠ	xiao1
ㄒㄧㄠˊ	xiao2
ㄒㄧㄠˇ	xiao3
ㄒㄧㄠˋ	xiao4
˙ㄒㄧㄠ	xiao5
ㄒㄧㄝ	xie1
ㄒㄧㄝˊ	xie2
ㄒㄧㄝˇ	xie3
ㄒㄧㄝˋ	xie4
˙ㄒㄧㄝ	xie5
ㄒㄧㄣ	xin1
ㄒㄧㄣˊ	xin2
ㄒㄧㄣˇ	xin3
ㄒㄧㄣˋ	xin4
˙ㄒㄧㄣ	xin5
ㄒㄧㄥ	xing1
ㄒㄧㄥˊ	xing2
ㄒㄧㄥˇ	xing3
ㄒㄧㄥˋ	xing4
˙ㄒㄧㄥ	xing5
ㄒㄩㄥ	xiong1
ㄒㄩㄥˊ	xiong2
ㄒㄩㄥˇ	xiong3
ㄒㄩㄥˋ	xiong4
˙ㄒㄩㄥ	xiong5
ㄒㄧㄡ	xiu1
ㄒㄧㄡˊ	xiu2
ㄒㄧㄡˇ	xiu3
ㄒㄧㄡˋ	xiu4
ㄒㄩ	xu1
ㄒㄩˊ	xu2
ㄒㄩˇ	xu3
ㄒㄩˋ	xu4
˙ㄒㄩ	xu5
ㄒㄩㄢ	xuan1
ㄒㄩㄢˊ	xuan2
ㄒㄩㄢˇ	xuan3
ㄒㄩㄢˋ	xuan4
ㄒㄩㄝ	xue1
ㄒㄩㄝˊ	xue2
ㄒㄩㄝˇ	xue3
ㄒㄩㄝˋ	xue4
ㄒㄩㄣ	xun1
ㄒㄩㄣˊ	xun2
ㄒㄩㄣˋ	xun4
˙ㄒㄩㄣ	xun5
ㄧㄚ	ya1
ㄧㄚˊ	ya2
ㄧㄚˇ	ya3
ㄧㄚˋ	ya4
˙ㄧㄚ	ya5
ㄧㄞˊ	yai2
ㄧㄢ	yan1
ㄧㄢˊ	yan2
ㄧㄢˇ	yan3
ㄧㄢˋ	yan4
˙ㄧㄢ	yan5
ㄧㄤ	yang1
ㄧㄤˊ	yang2
ㄧㄤˇ	yang3
ㄧㄤˋ	yang4
˙ㄧㄤ	yang5
ㄧㄠ	yao1
ㄧㄠˊ	yao2
ㄧㄠˇ	yao3
ㄧㄠˋ	yao4
˙ㄧㄠ	yao5
ㄧㄝ	ye1
ㄧㄝˊ	ye2
ㄧㄝˇ	ye3
ㄧㄝˋ	ye4
˙ㄧㄝ	ye5
ㄧ	yi1
ㄧˊ	yi2
ㄧˇ	yi3
ㄧˋ	yi4
˙ㄧ	yi5
ㄧㄣ	yin1
ㄧㄣˊ	yin2
ㄧㄣˇ	yin3
ㄧㄣˋ	yin4
˙ㄧㄣ	yin5
ㄧㄥ	ying1
ㄧㄥˊ	ying2
ㄧㄥˇ	ying3
ㄧㄥˋ	ying4
˙ㄧㄥ	ying5
ㄧㄛ	yo1
˙ㄧㄛ	yo5
ㄩㄥ	yong1
ㄩㄥˊ	yong2
ㄩㄥˇ	yong3
ㄩㄥˋ	yong4
˙ㄩㄥ	yong5
ㄧㄡ	you1
ㄧㄡˊ	you2
ㄧㄡˇ	you3
ㄧㄡˋ	you4
˙ㄧㄡ	you5
ㄩ	yu1
ㄩˊ	yu2
ㄩˇ	yu3
ㄩˋ	yu4
˙ㄩ	yu5
ㄩㄢ	yuan1
ㄩㄢˊ	yuan2
ㄩㄢˇ	yuan3
ㄩㄢˋ	yuan4
ㄩㄝ	yue1
ㄩㄝˇ	yue3
ㄩㄝˋ	yue4
˙ㄩㄝ	yue5
ㄩㄣ	yun1
ㄩㄣˊ	yun2
ㄩㄣˇ	yun3
ㄩㄣˋ	yun4
˙ㄩㄣ	yun5
ㄗㄚ	za1
ㄗㄚˊ	za2
ㄗㄚˇ	za3
˙ㄗㄚ	za5
ㄗㄞ	zai1
ㄗㄞˇ	zai3
ㄗㄞˋ	zai4
˙ㄗㄞ	zai5
ㄗㄢ	zan1
ㄗㄢˊ	zan2
ㄗㄢˇ	zan3
ㄗㄢˋ	zan4
˙ㄗㄢ	zan5
ㄗㄤ	zang1
ㄗㄤˇ	zang3
ㄗㄤˋ	zang4
ㄗㄠ	zao1
ㄗㄠˊ	zao2
ㄗㄠˇ	zao3
ㄗㄠˋ	zao4
˙ㄗㄠ	zao5
ㄗㄜˊ	ze2
ㄗㄜˇ	ze3
ㄗㄜˋ	ze4
˙ㄗㄜ	ze5
ㄗㄟˊ	zei2
ㄗㄣ	zen1
ㄗㄣˇ	zen3
ㄗㄣˋ	zen4
˙ㄗㄣ	zen5
ㄗㄥ	zeng1
ㄗㄥˋ	zeng4
ㄓㄚ	zha1
ㄓㄚˊ	zha2
ㄓㄚˇ	zha3
ㄓㄚˋ	zha4
˙ㄓㄚ	zha5
ㄓㄞ	zhai1
ㄓㄞˊ	zhai2
ㄓㄞˇ	zhai3
ㄓㄞˋ	zhai4
˙ㄓㄞ	zhai5
ㄓㄢ	zhan1
ㄓㄢˊ	zhan2
ㄓㄢˇ	zhan3
ㄓㄢˋ	zhan4
˙ㄓㄢ	zhan5
ㄓㄤ	zhang1
ㄓㄤˇ	zhang3
ㄓㄤˋ	zhang4
˙ㄓㄤ	zhang5
ㄓㄠ	zhao1
ㄓㄠˊ	zhao2
ㄓㄠˇ	zhao3
ㄓㄠˋ	zhao4
˙ㄓㄠ	zhao5
ㄓㄜ	zhe1
ㄓㄜˊ	zhe2
ㄓㄜˇ	zhe3
ㄓㄜˋ	zhe4
˙ㄓㄜ	zhe5
ㄓㄟˋ	zhei4
ㄓㄣ	zhen1
ㄓㄣˇ	zhen3
ㄓㄣˋ	zhen4
ㄓㄥ	zheng1
ㄓㄥˇ	zheng3
ㄓㄥˋ	zheng4
˙ㄓㄥ	zheng5
ㄓ	zhi1
ㄓˊ	zhi2
ㄓˇ	zhi3
ㄓˋ	zhi4
˙ㄓ	zhi5
ㄓㄨㄥ	zhong1
ㄓㄨㄥˇ	zhong3
ㄓㄨㄥˋ	zhong4
˙ㄓㄨㄥ	zhong5
ㄓㄡ	zhou1
ㄓㄡˊ	zhou2
ㄓㄡˇ	zhou3
ㄓㄡˋ	zhou4
˙ㄓㄡ	zhou5
ㄓㄨ	zhu1
ㄓㄨˊ	zhu2
ㄓㄨˇ	zhu3
ㄓㄨˋ	zhu4
˙ㄓㄨ	zhu5
ㄓㄨㄚ	zhua1
ㄓㄨㄚˇ	zhua3
ㄓㄨㄞ	zhuai1
ㄓㄨㄞˇ	zhuai3
ㄓㄨㄞˋ	zhuai4
ㄓㄨㄢ	zhuan1
ㄓㄨㄢˇ	zhuan3
ㄓㄨㄢˋ	zhuan4
˙ㄓㄨㄢ	zhuan5
ㄓㄨㄤ	zhuang1
ㄓㄨㄤˇ	zhuang3
ㄓㄨㄤˋ	zhuang4
˙ㄓㄨㄤ	zhuang5
ㄓㄨㄟ	zhui1
ㄓㄨㄟˇ	zhui3
ㄓㄨㄟˋ	zhui4
˙ㄓㄨㄟ	zhui5
ㄓㄨㄣ	zhun1
ㄓㄨㄣˇ	zhun3
ㄓㄨㄣˋ	zhun4
ㄓㄨㄛ	zhuo1
ㄓㄨㄛˊ	zhuo2
ㄓㄨㄛˋ	zhuo4
˙ㄓㄨㄛ	zhuo5
ㄗ	zi1
ㄗˊ	zi2
ㄗˇ	zi3
ㄗˋ	zi4
˙ㄗ	zi5
ㄗㄨㄥ	zong1
ㄗㄨㄥˇ	zong3
ㄗㄨㄥˋ	zong4
˙ㄗㄨㄥ	zong5
ㄗㄡ	zou1
ㄗㄡˇ	zou3
ㄗㄡˋ	zou4
ㄗㄨ	zu1
ㄗㄨˊ	zu2
ㄗㄨˇ	zu3
ㄗㄨˋ	zu4
ㄗㄨㄚ	zua1
ㄗㄨㄚˊ	zua2
ㄗㄨㄚˇ	zua3
ㄗㄨㄚˋ	zua4
ㄗㄨㄚ˙	zua5
ㄗㄨㄢ	zuan1
ㄗㄨㄢˇ	zuan3
ㄗㄨㄢˋ	zuan4
ㄗㄨㄟ	zui1
ㄗㄨㄟˇ	zui3
ㄗㄨㄟˋ	zui4
˙ㄗㄨㄟ	zui5
ㄗㄨㄣ	zun1
ㄗㄨㄣˇ	zun3
ㄗㄨㄣˋ	zun4
ㄗㄨㄛ	zuo1
ㄗㄨㄛˊ	zuo2
ㄗㄨㄛˇ	zuo3
ㄗㄨㄛˋ	zuo4
˙ㄗㄨㄛ	zuo5
