ㄚ	a1
ㄘㄨㄥˊ	cong2
ㄘㄨㄥˇ	cong3
ㄘㄨㄥˋ	cong4
ㄘㄡˇ	cou3
ㄘㄡˋ	cou4
ㄘㄨ	cu1
ㄘㄨˊ	cu2
ㄘㄨˇ	cu3
ㄘㄨˋ	cu4
ㄘㄨㄚˋ	cua4
ㄘㄨㄢ	cuan1
ㄘㄨㄢˊ	cuan2
ㄘㄨㄢˋ	cuan4
ㄘㄨㄟ	cui1
ㄘㄨㄟˊ	cui2
ㄘㄨㄟˇ	cui3
ㄘㄨㄟˋ	cui4
˙ㄘㄨㄟ	cui5
ㄘㄨㄣ	cun1
ㄘㄨㄣˊ	cun2
ㄘㄨㄣˇ	cun3
ㄘㄨㄣˋ	cun4
˙ㄘㄨㄣ	cun5
ㄘㄨㄛ	cuo1
ㄘㄨㄛˊ	cuo2
ㄘㄨㄛˇ	cuo3
ㄘㄨㄛˋ	cuo4
˙ㄘㄨㄛ	cuo5
ㄉㄚ	da1
ㄉㄚˊ	da2
ㄉㄚˇ	da3
ㄉㄚˋ	da4
˙ㄉㄚ	da5
ㄉㄞ	dai1
ㄉㄞˇ	dai3
ㄉㄞˋ	dai4
˙ㄉㄞ	dai5
ㄉㄢ	dan1
ㄉㄢˇ	dan3
ㄉㄢˋ	dan4
˙ㄉㄢ	dan5
ㄉㄤ	dang1
ㄉㄤˇ	dang3
ㄉㄤˋ	dang4
˙ㄉㄤ	dang5
ㄉㄠ	dao1
ㄉㄠˊ	dao2
ㄉㄠˇ	dao3
ㄉㄠˋ	dao4
˙ㄉㄠ	dao5
ㄉㄜ	de1
ㄉㄜˊ	de2
ㄉㄜˋ	de4
˙ㄉㄜ	de5
ㄉㄟ	dei1
ㄉㄟˇ	dei3
ㄉㄣˋ	den4
ㄉㄥ	deng1
ㄉㄥˇ	deng3
ㄉㄥˋ	deng4
˙ㄉㄥ	deng5
ㄉㄧ	di1
ㄉㄧˊ	di2
ㄉㄧˇ	di3
ㄉㄧˋ	di4
˙ㄉㄧ	di5
ㄉㄧㄚˇ	dia3
ㄉㄧㄢ	dian1
ㄉㄧㄢˇ	dian3
ㄉㄧㄢˋ	dian4
˙ㄉㄧㄢ	dian5
ㄉㄧㄤ	diang1
ㄉㄧㄠ	diao1
ㄉㄧㄠˇ	diao3
ㄉㄧㄠˋ	diao4
ㄉㄧㄝ	die1
ㄉㄧㄝˊ	die2
ㄉㄧㄝˋ	die4
˙ㄉㄧㄝ	die5
ㄉㄧㄥ	ding1
ㄉㄧㄥˇ	ding3
ㄉㄧㄥˋ	ding4
˙ㄉㄧㄥ	ding5
ㄉㄧㄡ	diu1
ㄉㄨㄥ	dong1
ㄉㄨㄥˇ	dong3
ㄉㄨㄥˋ	dong4
˙ㄉㄨㄥ	dong5
ㄉㄡ	dou1
ㄉㄡˊ	dou2
ㄉㄡˇ	dou3
ㄉㄡˋ	dou4
˙ㄉㄡ	dou5
ㄉㄨ	du1
ㄉㄨˊ	du2
ㄉㄨˇ	du3
ㄉㄨˋ	du4
˙ㄉㄨ	du5
ㄉㄨㄢ	duan1
ㄉㄨㄢˇ	duan3
ㄉㄨㄢˋ	duan4
ㄉㄨㄟ	dui1
ㄉㄨㄟˇ	dui3
ㄉㄨㄟˋ	dui4
˙ㄉㄨㄟ	dui5
ㄉㄨㄣ	dun1
ㄉㄨㄣˇ	dun3
ㄉㄨㄣˋ	dun4
ㄉㄨㄛ	duo1
ㄉㄨㄛˊ	duo2
ㄉㄨㄛˇ	duo3
ㄉㄨㄛˋ	duo4
˙ㄉㄨㄛ	duo5
ㄜ	e1
ㄜˊ	e2
ㄜˇ	e3
ㄜˋ	e4
˙ㄜ	e5
ㄝ	eh1
ㄝˊ	eh2
ㄝˇ	eh3
ㄝˋ	eh4
˙ㄝ	eh5
ㄟ	ei1
ㄟˊ	ei2
ㄟˇ	ei3
ㄟˋ	ei4
ㄣ	en1
ㄣˇ	en3
ㄣˋ	en4
˙ㄣ	en5
ㄥ	eng1
ㄦ	er1
ㄦˊ	er2
ㄦˇ	er3
ㄦˋ	er4
˙ㄦ	er5
ㄈㄚ	fa1
ㄈㄚˊ	fa2
ㄈㄚˇ	fa3
ㄈㄚˋ	fa4
˙ㄈㄚ	fa5
ㄈㄢ	fan1
ㄈㄢˊ	fan2
ㄈㄢˇ	fan3
ㄈㄢˋ	fan4
˙ㄈㄢ	fan5
ㄈㄤ	fang1
ㄈㄤˊ	fang2
ㄈㄤˇ	fang3
ㄈㄤˋ	fang4
˙ㄈㄤ	fang5
ㄈㄟ	fei1
ㄈㄟˊ	fei2
ㄈㄟˇ	fei3
ㄈㄟˋ	fei4
˙ㄈㄟ	fei5
ㄈㄣ	fen1
ㄈㄣˊ	fen2
ㄈㄣˇ	fen3
ㄈㄣˋ	fen4
˙ㄈㄣ	fen5
ㄈㄥ	feng1
ㄈㄥˊ	feng2
ㄈㄥˇ	feng3
ㄈㄥˋ	feng4
˙ㄈㄥ	feng5
ㄈㄧㄠˋ	fiao4
ㄈㄛˊ	fo2
ㄈㄡ	fou1
ㄈㄡˊ	fou2
ㄈㄡˇ	fou3
ㄈㄡˋ	fou4
ㄈㄨ	fu1
ㄈㄨˊ	fu2
ㄈㄨˇ	fu3
ㄈㄨˋ	fu4
˙ㄈㄨ	fu5
ㄍㄚ	ga1
ㄍㄚˊ	ga2
ㄍㄚˇ	ga3
ㄍㄚˋ	ga4
˙ㄍㄚ	ga5
ㄍㄞ	gai1
ㄍㄞˇ	gai3
ㄍㄞˋ	gai4
˙ㄍㄞ	gai5
ㄍㄢ	gan1
ㄍㄢˇ	gan3
ㄍㄢˋ	gan4
ㄍㄤ	gang1
ㄍㄤˇ	gang3
ㄍㄤˋ	gang4
˙ㄍㄤ	gang5
ㄍㄠ	gao1
ㄍㄠˇ	gao3
ㄍㄠˋ	gao4
˙ㄍㄠ	gao5
ㄍㄜ	ge1
ㄍㄜˊ	ge2
ㄍㄜˇ	ge3
ㄍㄜˋ	ge4
˙ㄍㄜ	ge5
ㄍㄟ	gei1
ㄍㄟˇ	gei3
ㄍㄣ	gen1
ㄍㄣˊ	gen2
ㄍㄣˇ	gen3
ㄍㄣˋ	gen4
˙ㄍㄣ	gen5
ㄍㄥ	geng1
ㄍㄥˇ	geng3
ㄍㄥˋ	geng4
ㄍㄨㄥ	gong1
ㄍㄨㄥˇ	gong3
ㄍㄨㄥˋ	gong4
˙ㄍㄨㄥ	gong5
ㄍㄡ	gou1
ㄍㄡˇ	gou3
ㄍㄡˋ	gou4
ㄍㄨ	gu1
ㄍㄨˊ	gu2
ㄍㄨˇ	gu3
ㄍㄨˋ	gu4
˙ㄍㄨ	gu5
ㄍㄨㄚ	gua1
ㄍㄨㄚˇ	gua3
ㄍㄨㄚˋ	gua4
˙ㄍㄨㄚ	gua5
ㄍㄨㄞ	guai1
ㄍㄨㄞˊ	guai2
ㄍㄨㄞˇ	guai3
ㄍㄨㄞˋ	guai4
˙ㄍㄨㄞ	guai5
ㄍㄨㄢ	guan1
ㄍㄨㄢˇ	guan3
ㄍㄨㄢˋ	guan4
ㄍㄨㄤ	guang1
ㄍㄨㄤˇ	guang3
ㄍㄨㄤˋ	guang4
˙ㄍㄨㄤ	guang5
ㄍㄨㄟ	gui1
ㄍㄨㄟˇ	gui3
ㄍㄨㄟˋ	gui4
˙ㄍㄨㄟ	gui5
ㄍㄨㄣ	gun1
ㄍㄨㄣˇ	gun3
ㄍㄨㄣˋ	gun4
ㄍㄨㄛ	guo1
ㄍㄨㄛˊ	guo2
ㄍㄨㄛˇ	guo3
ㄍㄨㄛˋ	guo4
˙ㄍㄨㄛ	guo5
ㄏㄚ	ha1
ㄏㄚˊ	ha2
ㄏㄚˇ	ha3
ㄏㄚˋ	ha4
˙ㄏㄚ	ha5
ㄏㄞ	hai1
ㄏㄞˊ	hai2
ㄏㄞˇ	hai3
ㄏㄞˋ	hai4
˙ㄏㄞ	hai5
ㄏㄢ	han1
ㄏㄢˊ	han2
ㄏㄢˇ	han3
ㄏㄢˋ	han4
˙ㄏㄢ	han5
ㄏㄤ	hang1
